month,temperature,precipitation,city,vraie city,country,Region,Category,Latitude,Longitude,Approximate Annual Tourists,Currency,Majority Religion,Famous Foods,Language,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,daily_budget,travel_type,plage & détente,vie nocturne,nature,culture,ville,aventure,safety_score,safety_label,month_weather_score,spring_score,summer_score,autumn_score,winter_score,best_season,image_url,food_name_1,food_image_1,food_name_2,food_image_2,food_name_3,food_image_3,remote_work_score,internet_quality,coworking_score,monthly_remote_budget,digital_nomad_visa,tax_advantage_note,english_friendly,timezone_score,remote_work_summary,remote_housing_estimate,remote_living_estimate,coworking_monthly_estimate,visa_remote_info,visa_source_name,visa_source_url
1,9.150537634408602,2.329032258064516,Rome,ville,Italy,Lazio,City,41.902782,12.496366,14000000,Euro (EUR),Roman Catholic,"Pizza, Pasta, Gelato",Italian,Été,Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",110,Culture | City Break,1,3,2,5,5,2,3,Vigilance modérée,2,3,5,3,2,Été,https://images.unsplash.com/photo-1552832230-c0197dd311b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxSb21lJTIwSXRhbHklMjB0cmF2ZWx8ZW58MHwwfHx8MTc4MTEwMzA3M3ww&ixlib=rb-4.1.0&q=80&w=1080,Pizza,https://live.staticflickr.com/4046/4342076816_2ae2a0f94d_b.jpg,Pasta,https://live.staticflickr.com/6028/5982571392_64e6fb64ef_b.jpg,Gelato,https://live.staticflickr.com/3256/3088269562_e6bd1e1d77_b.jpg,64.0,3.6,5.0,1820,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Rome ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre possible pour travailleurs qualifies a distance, conditions a verifier au consulat.",Consulat / autorites italiennes,
2,9.418823529411766,2.6023529411764708,Rome,ville,Italy,Lazio,City,41.902782,12.496366,14000000,Euro (EUR),Roman Catholic,"Pizza, Pasta, Gelato",Italian,Été,Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",110,Culture | City Break,1,3,2,5,5,2,3,Vigilance modérée,2,3,5,3,2,Été,https://images.unsplash.com/photo-1552832230-c0197dd311b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxSb21lJTIwSXRhbHklMjB0cmF2ZWx8ZW58MHwwfHx8MTc4MTEwMzA3M3ww&ixlib=rb-4.1.0&q=80&w=1080,Pizza,https://live.staticflickr.com/4046/4342076816_2ae2a0f94d_b.jpg,Pasta,https://live.staticflickr.com/6028/5982571392_64e6fb64ef_b.jpg,Gelato,https://live.staticflickr.com/3256/3088269562_e6bd1e1d77_b.jpg,64.0,3.6,5.0,1820,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Rome ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre possible pour travailleurs qualifies a distance, conditions a verifier au consulat.",Consulat / autorites italiennes,
3,12.212903225806452,3.843010752688172,Rome,ville,Italy,Lazio,City,41.902782,12.496366,14000000,Euro (EUR),Roman Catholic,"Pizza, Pasta, Gelato",Italian,Été,Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",110,Culture | City Break,1,3,2,5,5,2,3,Vigilance modérée,2,3,5,3,2,Été,https://images.unsplash.com/photo-1552832230-c0197dd311b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxSb21lJTIwSXRhbHklMjB0cmF2ZWx8ZW58MHwwfHx8MTc4MTEwMzA3M3ww&ixlib=rb-4.1.0&q=80&w=1080,Pizza,https://live.staticflickr.com/4046/4342076816_2ae2a0f94d_b.jpg,Pasta,https://live.staticflickr.com/6028/5982571392_64e6fb64ef_b.jpg,Gelato,https://live.staticflickr.com/3256/3088269562_e6bd1e1d77_b.jpg,64.0,3.6,5.0,1820,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Rome ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre possible pour travailleurs qualifies a distance, conditions a verifier au consulat.",Consulat / autorites italiennes,
4,14.271111111111113,2.1155555555555554,Rome,ville,Italy,Lazio,City,41.902782,12.496366,14000000,Euro (EUR),Roman Catholic,"Pizza, Pasta, Gelato",Italian,Été,Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",110,Culture | City Break,1,3,2,5,5,2,3,Vigilance modérée,2,3,5,3,2,Été,https://images.unsplash.com/photo-1552832230-c0197dd311b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxSb21lJTIwSXRhbHklMjB0cmF2ZWx8ZW58MHwwfHx8MTc4MTEwMzA3M3ww&ixlib=rb-4.1.0&q=80&w=1080,Pizza,https://live.staticflickr.com/4046/4342076816_2ae2a0f94d_b.jpg,Pasta,https://live.staticflickr.com/6028/5982571392_64e6fb64ef_b.jpg,Gelato,https://live.staticflickr.com/3256/3088269562_e6bd1e1d77_b.jpg,64.0,3.6,5.0,1820,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Rome ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre possible pour travailleurs qualifies a distance, conditions a verifier au consulat.",Consulat / autorites italiennes,
5,18.119354838709675,3.712903225806452,Rome,ville,Italy,Lazio,City,41.902782,12.496366,14000000,Euro (EUR),Roman Catholic,"Pizza, Pasta, Gelato",Italian,Été,Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",110,Culture | City Break,1,3,2,5,5,2,3,Vigilance modérée,4,3,5,3,2,Été,https://images.unsplash.com/photo-1552832230-c0197dd311b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxSb21lJTIwSXRhbHklMjB0cmF2ZWx8ZW58MHwwfHx8MTc4MTEwMzA3M3ww&ixlib=rb-4.1.0&q=80&w=1080,Pizza,https://live.staticflickr.com/4046/4342076816_2ae2a0f94d_b.jpg,Pasta,https://live.staticflickr.com/6028/5982571392_64e6fb64ef_b.jpg,Gelato,https://live.staticflickr.com/3256/3088269562_e6bd1e1d77_b.jpg,64.0,3.6,5.0,1820,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Rome ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre possible pour travailleurs qualifies a distance, conditions a verifier au consulat.",Consulat / autorites italiennes,
6,24.378888888888888,1.5922222222222224,Rome,ville,Italy,Lazio,City,41.902782,12.496366,14000000,Euro (EUR),Roman Catholic,"Pizza, Pasta, Gelato",Italian,Été,Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",110,Culture | City Break,1,3,2,5,5,2,3,Vigilance modérée,5,3,5,3,2,Été,https://images.unsplash.com/photo-1552832230-c0197dd311b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxSb21lJTIwSXRhbHklMjB0cmF2ZWx8ZW58MHwwfHx8MTc4MTEwMzA3M3ww&ixlib=rb-4.1.0&q=80&w=1080,Pizza,https://live.staticflickr.com/4046/4342076816_2ae2a0f94d_b.jpg,Pasta,https://live.staticflickr.com/6028/5982571392_64e6fb64ef_b.jpg,Gelato,https://live.staticflickr.com/3256/3088269562_e6bd1e1d77_b.jpg,64.0,3.6,5.0,1820,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Rome ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre possible pour travailleurs qualifies a distance, conditions a verifier au consulat.",Consulat / autorites italiennes,
7,27.74838709677419,0.6838709677419355,Rome,ville,Italy,Lazio,City,41.902782,12.496366,14000000,Euro (EUR),Roman Catholic,"Pizza, Pasta, Gelato",Italian,Été,Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",110,Culture | City Break,1,3,2,5,5,2,3,Vigilance modérée,5,3,5,3,2,Été,https://images.unsplash.com/photo-1552832230-c0197dd311b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxSb21lJTIwSXRhbHklMjB0cmF2ZWx8ZW58MHwwfHx8MTc4MTEwMzA3M3ww&ixlib=rb-4.1.0&q=80&w=1080,Pizza,https://live.staticflickr.com/4046/4342076816_2ae2a0f94d_b.jpg,Pasta,https://live.staticflickr.com/6028/5982571392_64e6fb64ef_b.jpg,Gelato,https://live.staticflickr.com/3256/3088269562_e6bd1e1d77_b.jpg,64.0,3.6,5.0,1820,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Rome ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre possible pour travailleurs qualifies a distance, conditions a verifier au consulat.",Consulat / autorites italiennes,
8,27.05806451612904,1.827956989247312,Rome,ville,Italy,Lazio,City,41.902782,12.496366,14000000,Euro (EUR),Roman Catholic,"Pizza, Pasta, Gelato",Italian,Été,Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",110,Culture | City Break,1,3,2,5,5,2,3,Vigilance modérée,5,3,5,3,2,Été,https://images.unsplash.com/photo-1552832230-c0197dd311b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxSb21lJTIwSXRhbHklMjB0cmF2ZWx8ZW58MHwwfHx8MTc4MTEwMzA3M3ww&ixlib=rb-4.1.0&q=80&w=1080,Pizza,https://live.staticflickr.com/4046/4342076816_2ae2a0f94d_b.jpg,Pasta,https://live.staticflickr.com/6028/5982571392_64e6fb64ef_b.jpg,Gelato,https://live.staticflickr.com/3256/3088269562_e6bd1e1d77_b.jpg,64.0,3.6,5.0,1820,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Rome ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre possible pour travailleurs qualifies a distance, conditions a verifier au consulat.",Consulat / autorites italiennes,
9,22.25333333333333,3.543333333333333,Rome,ville,Italy,Lazio,City,41.902782,12.496366,14000000,Euro (EUR),Roman Catholic,"Pizza, Pasta, Gelato",Italian,Été,Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",110,Culture | City Break,1,3,2,5,5,2,3,Vigilance modérée,4,3,5,3,2,Été,https://images.unsplash.com/photo-1552832230-c0197dd311b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxSb21lJTIwSXRhbHklMjB0cmF2ZWx8ZW58MHwwfHx8MTc4MTEwMzA3M3ww&ixlib=rb-4.1.0&q=80&w=1080,Pizza,https://live.staticflickr.com/4046/4342076816_2ae2a0f94d_b.jpg,Pasta,https://live.staticflickr.com/6028/5982571392_64e6fb64ef_b.jpg,Gelato,https://live.staticflickr.com/3256/3088269562_e6bd1e1d77_b.jpg,64.0,3.6,5.0,1820,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Rome ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre possible pour travailleurs qualifies a distance, conditions a verifier au consulat.",Consulat / autorites italiennes,
10,18.56989247311828,3.40752688172043,Rome,ville,Italy,Lazio,City,41.902782,12.496366,14000000,Euro (EUR),Roman Catholic,"Pizza, Pasta, Gelato",Italian,Été,Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",110,Culture | City Break,1,3,2,5,5,2,3,Vigilance modérée,4,3,5,3,2,Été,https://images.unsplash.com/photo-1552832230-c0197dd311b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxSb21lJTIwSXRhbHklMjB0cmF2ZWx8ZW58MHwwfHx8MTc4MTEwMzA3M3ww&ixlib=rb-4.1.0&q=80&w=1080,Pizza,https://live.staticflickr.com/4046/4342076816_2ae2a0f94d_b.jpg,Pasta,https://live.staticflickr.com/6028/5982571392_64e6fb64ef_b.jpg,Gelato,https://live.staticflickr.com/3256/3088269562_e6bd1e1d77_b.jpg,64.0,3.6,5.0,1820,Visa nomade a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Rome ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre possible pour travailleurs qualifies a distance, conditions a verifier au consulat.",Consulat / autorites italiennes,
